dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t2,mB18,p12288,ms450,ms130,ms130,t16,kB375,p256,ms2000,ms1000,ms20,df10f81fc13e2b431be9f22d2a138133b2aa08a6283e6448990ba2c404e15089
t8,mB20,p28672,ms180,ms400,ms140,t16,kB6000,p128,ms800,ms1000,ms160,061c81e32efddd8ec406c07aa59ad553e43a93147e6146c58b73cc305cb3587e
t6,kB1500,p20480,ms450,ms40,ms25,t6,kB8,p24576,ms180,ms30,ms75,4c8e044b216bf3c78eca18269bf7120b64be784538e7ad1daf31129669b29bc4
t6,kB1500,p28672,ms450,ms1200,ms5,t32,kB2,p65536,ms300,ms1200,ms150,3a38d11b449cab70763d7db573031c425033b16725ef7d015058b56bf57de1e8
t8,kB375,p32,ms200,ms50,ms95,t32,kB5000,p8,ms110,ms170,ms170,da79ad600d8b1cb8c91e918fdbcfd33504cad6c8e542faf302818a99ea582b26
t8,mB9,p4096,ms210,ms800,ms170,t32,mB9,p8,ms30,ms10,ms25,926524fe37d521e78b7a0d6d33d6f7d17bb956e59744a2099ea51ad15ff11f9c
t16,kB15,p32768,ms170,ms180,ms85,t32,kB6500,p65536,ms300,ms40,ms65,b436d9ec44b5afd63e215f65a9ac7a7ede3dba51af4c21bd2d3e74e8303869d1
t16,kB750,p512,ms160,ms130,ms10,t4,kB50,p128,ms190,ms60,ms100,6c468053be85ba30010dfab4741a973daf094e14fa9ecc642a63bfb33b065bcf
t3,mB15,p12288,ms300,ms20,ms60,t4,kB7500,p2048,ms450,ms130,ms150,acc47124bdc8c576f625d23795c36da849f620b6e89e17e2f29a1a82b4d62db9
t16,kB5500,p16384,ms300,ms400,ms60,t32,kB25,p8192,ms350,ms1200,ms40,467e339e61539f8f20621585a72b599290b1c5b518482ea91797a630b591a433
t6,kB250,p24576,ms110,ms90,ms45,t16,kB1250,p57344,ms90,ms350,ms60,ed4c751c83d6a705f0c36a5835357ec53f757c2864c2f123ee5b869bbfe13173
